   0.00000   0   0   0 -0.3036381645221649E+001 -0.3036381645221646E+001  41.350760616227994
# -0.303638E+001  -0.340683E-015  -0.340683E-015
# -0.340683E-015  -0.303638E+001   0.353557E-015
# -0.340683E-015   0.353557E-015  -0.303638E+001
   0.01563   1   0   0 -0.3034090301808446E+001 -0.3034090301808440E+001  0.4133562265765611E+002
#  0.413356E+002   0.441673E-015   0.441673E-015
#  0.441673E-015  -0.303409E+001  -0.822598E-015
#  0.441673E-015  -0.822598E-015  -0.303409E+001
   0.03125   2   0   0 -0.3027237241656323E+001 -0.3027237241656323E+001  0.4129035237515248E+002
#  0.412904E+002  -0.167046E-015  -0.167046E-015
# -0.167046E-015  -0.302724E+001  -0.322338E-015
# -0.167046E-015  -0.322338E-015  -0.302724E+001
   0.04688   3   0   0 -0.3015885215803282E+001 -0.3015885215803280E+001  0.4121537925092969E+002
#  0.412154E+002   0.450489E-015   0.450489E-015
#  0.450489E-015  -0.301589E+001   0.608003E-015
#  0.450489E-015   0.608003E-015  -0.301589E+001
   0.06250   4   0   0 -0.3000138278404876E+001 -0.3000138278404869E+001  0.4111141477304051E+002
#  0.411114E+002   0.123531E-015   0.123531E-015
#  0.123531E-015  -0.300014E+001  -0.443659E-016
#  0.123531E-015  -0.443659E-016  -0.300014E+001
   0.07813   5   0   0 -0.2980140989887076E+001 -0.2980140989887070E+001  0.4097944599386103E+002
#  0.409794E+002  -0.233318E-015  -0.233318E-015
# -0.233318E-015  -0.298014E+001   0.891636E-015
# -0.233318E-015   0.891636E-015  -0.298014E+001
   0.09375   6   0   0 -0.2956077300640296E+001 -0.2956077300640294E+001  0.4082072657601700E+002
#  0.408207E+002  -0.138925E-015  -0.138925E-015
# -0.138925E-015  -0.295608E+001   0.104177E-014
# -0.138925E-015   0.104177E-014  -0.295608E+001
   0.10938   7   0   0 -0.2928169115109423E+001 -0.2928169115109416E+001  0.4063676539019283E+002
#  0.406368E+002   0.179707E-015   0.179707E-015
#  0.179707E-015  -0.292817E+001  -0.211024E-015
#  0.179707E-015  -0.211024E-015  -0.292817E+001
   0.12500   8   0   0 -0.2896674536878523E+001 -0.2896674536878522E+001  0.4042931274817393E+002
#  0.404293E+002   0.328873E-015   0.328873E-015
