   0.00000   0   0   0 -0.1479571408714989E+002 -0.1479571408714988E+002  29.59142817429976
# -0.147957E+002  -0.340683E-015  -0.340683E-015
# -0.340683E-015  -0.147957E+002   0.353557E-015
# -0.340683E-015   0.353557E-015  -0.147957E+002
   0.01563   1   0   0 -0.1480132162179815E+002 -0.1480132162179813E+002  0.2960264324359628E+002
#  0.296026E+002   0.441673E-015   0.441673E-015
#  0.441673E-015  -0.148013E+002  -0.822598E-015
#  0.441673E-015  -0.822598E-015  -0.148013E+002
   0.03125   2   0   0 -0.1481808912531671E+002 -0.1481808912531671E+002  0.2963617825063344E+002
#  0.296362E+002  -0.167046E-015  -0.167046E-015
# -0.167046E-015  -0.148181E+002  -0.322338E-015
# -0.167046E-015  -0.322338E-015  -0.148181E+002
   0.04688   3   0   0 -0.1484585186980312E+002 -0.1484585186980312E+002  0.2969170373960623E+002
#  0.296917E+002   0.450489E-015   0.450489E-015
#  0.450489E-015  -0.148459E+002   0.608003E-015
#  0.450489E-015   0.608003E-015  -0.148459E+002
   0.06250   4   0   0 -0.1488433721279225E+002 -0.1488433721279224E+002  0.2976867442558451E+002
#  0.297687E+002   0.123531E-015   0.123531E-015
#  0.123531E-015  -0.148843E+002  -0.443659E-016
#  0.123531E-015  -0.443659E-016  -0.148843E+002
   0.07813   5   0   0 -0.1493316742820356E+002 -0.1493316742820355E+002  0.2986633485640711E+002
#  0.298663E+002  -0.233318E-015  -0.233318E-015
# -0.233318E-015  -0.149332E+002   0.891636E-015
# -0.233318E-015   0.891636E-015  -0.149332E+002
   0.09375   6   0   0 -0.1499186361993969E+002 -0.1499186361993969E+002  0.2998372723987939E+002
#  0.299837E+002  -0.138925E-015  -0.138925E-015
# -0.138925E-015  -0.149919E+002   0.104177E-014
# -0.138925E-015   0.104177E-014  -0.149919E+002
   0.10938   7   0   0 -0.1505985066955050E+002 -0.1505985066955050E+002  0.3011970133910100E+002
#  0.301197E+002   0.179707E-015   0.179707E-015
#  0.179707E-015  -0.150599E+002  -0.211024E-015
#  0.179707E-015  -0.211024E-015  -0.150599E+002
   0.12500   8   0   0 -0.1513646315708397E+002 -0.1513646315708397E+002  0.3027292631416795E+002
#  0.302729E+002   0.328873E-015   0.328873E-015
#  0.328873E-015  -0.151365E+002   0.852099E-015
#  0.328873E-015   0.852099E-015  -0.151365E+002
   0.14063   9   0   0 -0.1522095218307733E+002 -0.1522095218307732E+002  0.3044190436615466E+002
#  0.304419E+002  -0.133541E-015  -0.133541E-015
# -0.133541E-015  -0.152210E+002   0.963141E-015
# -0.133541E-015   0.963141E-015  -0.152210E+002
   0.15625  10   0   0 -0.1531249300977379E+002 -0.1531249300977379E+002  0.3062498601954757E+002
#  0.306250E+002  -0.545023E-017  -0.545023E-017
# -0.545023E-017  -0.153125E+002   0.764445E-015
# -0.545023E-017   0.764445E-015  -0.153125E+002
   0.17188  11   0   0 -0.1541019343122327E+002 -0.1541019343122326E+002  0.3082038686244655E+002
#  0.308204E+002  -0.347975E-015  -0.347975E-015
# -0.347975E-015  -0.154102E+002   0.464729E-015
# -0.347975E-015   0.464729E-015  -0.154102E+002
   0.18750  12   0   0 -0.1551310277503409E+002 -0.1551310277503408E+002  0.3102620555006817E+002
#  0.310262E+002   0.291111E-016   0.291111E-016
#  0.291111E-016  -0.155131E+002   0.764947E-015
#  0.291111E-016   0.764947E-015  -0.155131E+002
   0.20313  13   0   0 -0.1562022143324481E+002 -0.1562022143324481E+002  0.3124044286648962E+002
#  0.312404E+002   0.195923E-015   0.195923E-015
#  0.195923E-015  -0.156202E+002   0.279521E-015
#  0.195923E-015   0.279521E-015  -0.156202E+002
   0.21875  14   0   0 -0.1573051081609248E+002 -0.1573051081609248E+002  0.3146102163218497E+002
#  0.314610E+002  -0.403441E-015  -0.403441E-015
# -0.403441E-015  -0.157305E+002   0.788001E-015
# -0.403441E-015   0.788001E-015  -0.157305E+002
   0.23438  15   0   0 -0.1584290362033816E+002 -0.1584290362033816E+002  0.3168580724067633E+002
#  0.316858E+002  -0.718071E-016  -0.718071E-016
# -0.718071E-016  -0.158429E+002   0.265528E-015
# -0.718071E-016   0.265528E-015  -0.158429E+002
   0.25000  16   0   0 -0.1595631430321169E+002 -0.1595631430321169E+002  0.3191262860642340E+002
#  0.319126E+002  -0.793023E-016  -0.793023E-016
# -0.793023E-016  -0.159563E+002   0.515125E-015
# -0.793023E-016   0.515125E-015  -0.159563E+002
   0.26563  17   0   0 -0.1606964965385675E+002 -0.1606964965385675E+002  0.3213929930771350E+002
#  0.321393E+002  -0.161558E-015  -0.161558E-015
# -0.161558E-015  -0.160696E+002   0.559068E-015
# -0.161558E-015   0.559068E-015  -0.160696E+002
   0.28125  18   0   0 -0.1618181935627474E+002 -0.1618181935627474E+002  0.3236363871254947E+002
#  0.323636E+002  -0.133387E-016  -0.133387E-016
# -0.133387E-016  -0.161818E+002   0.759537E-015
# -0.133387E-016   0.759537E-015  -0.161818E+002
   0.29688  19   0   0 -0.1629174644103891E+002 -0.1629174644103890E+002  0.3258349288207782E+002
#  0.325835E+002  -0.362094E-015  -0.362094E-015
# -0.362094E-015  -0.162917E+002   0.778246E-015
# -0.362094E-015   0.778246E-015  -0.162917E+002
   0.31250  20   0   0 -0.1639837752732156E+002 -0.1639837752732156E+002  0.3279675505464311E+002
#  0.327968E+002  -0.225313E-015  -0.225313E-015
# -0.225313E-015  -0.163984E+002   0.410077E-015
# -0.225313E-015   0.410077E-015  -0.163984E+002
   0.32813  21   0   0 -0.1650069276188454E+002 -0.1650069276188453E+002  0.3300138552376907E+002
#  0.330014E+002   0.303582E-015   0.303582E-015
#  0.303582E-015  -0.165007E+002   0.398833E-015
#  0.303582E-015   0.398833E-015  -0.165007E+002
   0.34375  22   0   0 -0.1659771536746074E+002 -0.1659771536746073E+002  0.3319543073492149E+002
#  0.331954E+002  -0.135537E-016  -0.135537E-016
# -0.135537E-016  -0.165977E+002   0.112796E-014
# -0.135537E-016   0.112796E-014  -0.165977E+002
   0.35938  23   0   0 -0.1668852071924141E+002 -0.1668852071924140E+002  0.3337704143848281E+002
#  0.333770E+002   0.948710E-016   0.948710E-016
#  0.948710E-016  -0.166885E+002   0.359081E-015
#  0.948710E-016   0.359081E-015  -0.166885E+002
   0.37500  24   0   0 -0.1677224487483025E+002 -0.1677224487483025E+002  0.3354448974966049E+002
#  0.335445E+002  -0.303575E-015  -0.303575E-015
# -0.303575E-015  -0.167722E+002   0.339565E-015
# -0.303575E-015   0.339565E-015  -0.167722E+002
   0.39063  25   0   0 -0.1684809248989367E+002 -0.1684809248989367E+002  0.3369618497978733E+002
#  0.336962E+002  -0.996658E-016  -0.996658E-016
# -0.996658E-016  -0.168481E+002   0.349986E-015
# -0.996658E-016   0.349986E-015  -0.168481E+002
   0.40625  26   0   0 -0.1691534405870649E+002 -0.1691534405870647E+002  0.3383068811741298E+002
#  0.338307E+002   0.190656E-015   0.190656E-015
#  0.190656E-015  -0.169153E+002  -0.221959E-015
#  0.190656E-015  -0.221959E-015  -0.169153E+002
   0.42188  27   0   0 -0.1697336242576602E+002 -0.1697336242576601E+002  0.3394672485153202E+002
#  0.339467E+002   0.271841E-015   0.271841E-015
#  0.271841E-015  -0.169734E+002   0.568088E-015
#  0.271841E-015   0.568088E-015  -0.169734E+002
   0.43750  28   0   0 -0.1702159852154526E+002 -0.1702159852154526E+002  0.3404319704309052E+002
#  0.340432E+002   0.681195E-016   0.681195E-016
#  0.681195E-016  -0.170216E+002  -0.574885E-015
#  0.681195E-016  -0.574885E-015  -0.170216E+002
   0.45313  29   0   0 -0.1705959628222207E+002 -0.1705959628222206E+002  0.3411919256444414E+002
#  0.341192E+002  -0.284884E-015  -0.284884E-015
# -0.284884E-015  -0.170596E+002  -0.173618E-015
# -0.284884E-015  -0.173618E-015  -0.170596E+002
   0.46875  30   0   0 -0.1708699671982166E+002 -0.1708699671982166E+002  0.3417399343964330E+002
#  0.341740E+002   0.551099E-015   0.551099E-015
#  0.551099E-015  -0.170870E+002   0.806333E-015
#  0.551099E-015   0.806333E-015  -0.170870E+002
   0.48438  31   0   0 -0.1710354111563035E+002 -0.1710354111563035E+002  0.3420708223126069E+002
#  0.342071E+002  -0.243243E-015  -0.243243E-015
# -0.243243E-015  -0.171035E+002   0.312312E-016
# -0.243243E-015   0.312312E-016  -0.171035E+002
   0.50000  32   0   0 -0.1710907331598458E+002 -0.1710907331598457E+002  0.3421814663196913E+002
#  0.342181E+002   0.457794E-015   0.457794E-015
#  0.457794E-015  -0.171091E+002   0.828494E-016
#  0.457794E-015   0.828494E-016  -0.171091E+002
   0.51563  32   1   0 -0.1711342447941378E+002 -0.1703415037752434E+002  0.3414757485693812E+002
#  0.341476E+002   0.453957E-015   0.453502E-015
#  0.453957E-015  -0.170342E+002   0.707381E-016
#  0.453502E-015   0.707381E-016  -0.171134E+002
   0.53125  32   2   0 -0.1712643562634947E+002 -0.1681047778135567E+002  0.3393691340770511E+002
#  0.339369E+002   0.443863E-015   0.440966E-015
#  0.443863E-015  -0.168105E+002  -0.407070E-016
#  0.440966E-015  -0.407070E-016  -0.171264E+002
   0.54688  32   3   0 -0.1714798015151734E+002 -0.1644131423682702E+002  0.3358929438834436E+002
#  0.335893E+002   0.431160E-015   0.421270E-015
#  0.431160E-015  -0.164413E+002  -0.728842E-016
#  0.421270E-015  -0.728842E-016  -0.171480E+002
   0.56250  32   4   0 -0.1717784845731213E+002 -0.1593199268383949E+002  0.3310984114115161E+002
#  0.331098E+002   0.420200E-015   0.396376E-015
#  0.420200E-015  -0.159320E+002  -0.120709E-015
#  0.396376E-015  -0.120709E-015  -0.171778E+002
   0.57813  32   5   0 -0.1721575005401015E+002 -0.1528977834203148E+002  0.3250552839604164E+002
#  0.325055E+002   0.414242E-015   0.369146E-015
#  0.414242E-015  -0.152898E+002  -0.162202E-015
#  0.369146E-015  -0.162202E-015  -0.172158E+002
   0.59375  32   6   0 -0.1726131646719441E+002 -0.1452368033315439E+002  0.3178499680034879E+002
#  0.317850E+002   0.414139E-015   0.343117E-015
#  0.414139E-015  -0.145237E+002  -0.211811E-016
#  0.343117E-015  -0.211811E-016  -0.172613E+002
   0.60938  32   7   0 -0.1731410492011448E+002 -0.1364422618815099E+002  0.3095833110826547E+002
