u_x=,u_y=,u_z=   0.00000000   0.00000000   0.00000000	    etotal   -1.3184285821E+02	     acell    7.4434230817E+00  7.4434230817E+00  7.4434230817E+00 Bohr	     rprim0   1.0 0.0 0.0
u_x=,u_y=,u_z=   0.00719021   0.00719021   0.00000000	    etotal1  -1.3184285853E+02	     acell1   7.4434967694E+00  7.4434967694E+00  7.4433827349E+00 Bohr	     rprim1   1.0000000000E+00  1.4557530127E-06  0.0000000000E+00
u_x=,u_y=,u_z=   0.01438042   0.01438042   0.00000000	    etotal2  -1.3184285948E+02	     acell2   7.4437192817E+00  7.4437192817E+00  7.4432644902E+00 Bohr	     rprim2   9.9999999998E-01  5.7876669965E-06  0.0000000000E+00
u_x=,u_y=,u_z=   0.02157062   0.02157062   0.00000000	    etotal3  -1.3184286101E+02	     acell3   7.4440910906E+00  7.4440910906E+00  7.4430666061E+00 Bohr	     rprim3   9.9999999991E-01  1.3058079540E-05  0.0000000000E+00
u_x=,u_y=,u_z=   0.02876083   0.02876083   0.00000000	    etotal4  -1.3184286304E+02	     acell4   7.4446109921E+00  7.4446109921E+00  7.4427903959E+00 Bohr	     rprim4   9.9999999973E-01  2.3099752436E-05  0.0000000000E+00
u_x=,u_y=,u_z=   0.03595104   0.03595104   0.00000000	    etotal5  -1.3184286546E+02	     acell5   7.4452775377E+00  7.4452775377E+00  7.4424319276E+00 Bohr	     rprim5   9.9999999933E-01  3.6545047290E-05  0.0000000000E+00
u_x=,u_y=,u_z=   0.04314125   0.04314125   0.00000000	    etotal6  -1.3184286810E+02	     acell6   7.4460943609E+00  7.4460943609E+00  7.4419949924E+00 Bohr	     rprim6   9.9999999862E-01  5.2508585399E-05  0.0000000000E+00
u_x=,u_y=,u_z=   0.05033146   0.05033146   0.00000000	    etotal7  -1.3184287080E+02	     acell7   7.4470583428E+00  7.4470583428E+00  7.4414735932E+00 Bohr	     rprim7   9.9999999743E-01  7.1666899763E-05  0.0000000000E+00
u_x=,u_y=,u_z=   0.05752166   0.05752166   0.00000000	    etotal8  -1.3184287332E+02	     acell8   7.4481683564E+00  7.4481683564E+00  7.4408684146E+00 Bohr	     rprim8   9.9999999553E-01  9.4537357979E-05  0.0000000000E+00
u_x=,u_y=,u_z=   0.06471187   0.06471187   0.00000000	    etotal9  -1.3184287542E+02	     acell9   7.4494251337E+00  7.4494251337E+00  7.4401782744E+00 Bohr	     rprim9   9.9999999258E-01  1.2185380264E-04  0.0000000000E+00
u_x=,u_y=,u_z=   0.07190208   0.07190208   0.00000000	    etotal10 -1.3184287683E+02	     acell10  7.4508269676E+00  7.4508269676E+00  7.4394037182E+00 Bohr	     rprim10  9.9999998832E-01  1.5283574067E-04  0.0000000000E+00
u_x=,u_y=,u_z=   0.07909229   0.07909229   0.00000000	    etotal11 -1.3184287724E+02	     acell11  7.4523715091E+00  7.4523715091E+00  7.4385470404E+00 Bohr	     rprim11  9.9999998249E-01  1.8713550947E-04  0.0000000000E+00
u_x=,u_y=,u_z=   0.08628250   0.08628250   0.00000000	    etotal12 -1.3184287636E+02	     acell12  7.4540545733E+00  7.4540545733E+00  7.4376029019E+00 Bohr	     rprim12  9.9999997480E-01  2.2449787556E-04  0.0000000000E+00
u_x=,u_y=,u_z=   0.09347270   0.09347270   0.00000000	    etotal13 -1.3184287384E+02	     acell13  7.4558738942E+00  7.4558738942E+00  7.4365675484E+00 Bohr	     rprim13  9.9999996489E-01  2.6500147389E-04  0.0000000000E+00
u_x=,u_y=,u_z=   0.10066291   0.10066291   0.00000000	    etotal14 -1.3184286936E+02	     acell14  7.4578341326E+00  7.4578341326E+00  7.4354447377E+00 Bohr	     rprim14  9.9999995197E-01  3.0993937141E-04  0.0000000000E+00
u_x=,u_y=,u_z=   0.10785312   0.10785312   0.00000000	    etotal15 -1.3184286258E+02	     acell15  7.4599261281E+00  7.4599261281E+00  7.4342289833E+00 Bohr	     rprim15  9.9999993582E-01  3.5828637575E-04  0.0000000000E+00
u_x=,u_y=,u_z=   0.11504333   0.11504333   0.00000000	    etotal16 -1.3184285317E+02	     acell16  7.4621484057E+00  7.4621484057E+00  7.4329222741E+00 Bohr	     rprim16  9.9999991561E-01  4.1082274746E-04  0.0000000000E+00
u_x=,u_y=,u_z=   0.12223354   0.12223354   0.00000000	    etotal17 -1.3184284080E+02	     acell17  7.4644986698E+00  7.4644986698E+00  7.4315230746E+00 Bohr	     rprim17  9.9999989077E-01  4.6738910241E-04  0.0000000000E+00
u_x=,u_y=,u_z=   0.12942374   0.12942374   0.00000000	    etotal18 -1.3184282513E+02	     acell18  7.4669708289E+00  7.4669708289E+00  7.4300342267E+00 Bohr	     rprim18  9.9999986058E-01  5.2805111074E-04  0.0000000000E+00
u_x=,u_y=,u_z=   0.13661395   0.13661395   0.00000000	    etotal19 -1.3184280585E+02	     acell19  7.4695609728E+00  7.4695609728E+00  7.4284538794E+00 Bohr	     rprim19  9.9999982414E-01  5.9305273039E-04  0.0000000000E+00
u_x=,u_y=,u_z=   0.14380416   0.14380416   0.00000000	    etotal20 -1.3184278266E+02	     acell20  7.4722665449E+00  7.4722665449E+00  7.4267835060E+00 Bohr	     rprim20  9.9999978053E-01  6.6252969002E-04  0.0000000000E+00
