   0.00000   0   0   0 -0.6566782417378136E+001 -0.6566782417378131E+001 -0.6566782417378127E+001
# -0.656678E+001  -0.101644E-014  -0.101644E-014
# -0.101644E-014  -0.656678E+001  -0.169837E-014
# -0.101644E-014  -0.169837E-014  -0.656678E+001
   0.03125   1   0   0 -0.6556640808572990E+001 -0.6556640808572984E+001  0.4911127303904831E+002
#  0.491113E+002  -0.120770E-014  -0.120770E-014
# -0.120770E-014  -0.655664E+001  -0.376848E-015
# -0.120770E-014  -0.376848E-015  -0.655664E+001
   0.06250   2   0   0 -0.6526584074122504E+001 -0.6526584074122498E+001  0.4826335639633126E+002
#  0.482634E+002  -0.100152E-014  -0.100152E-014
# -0.100152E-014  -0.652658E+001  -0.640738E-015
# -0.100152E-014  -0.640738E-015  -0.652658E+001
   0.09375   3   0   0 -0.6477705682738417E+001 -0.6477705682738407E+001  0.4688627667819325E+002
#  0.468863E+002  -0.883485E-015  -0.883485E-015
# -0.883485E-015  -0.647771E+001  -0.102771E-014
# -0.883485E-015  -0.102771E-014  -0.647771E+001
   0.12500   4   0   0 -0.6411791950685477E+001 -0.6411791950685475E+001  0.4503277018011753E+002
#  0.450328E+002  -0.634799E-015  -0.634799E-015
# -0.634799E-015  -0.641179E+001  -0.104694E-014
# -0.634799E-015  -0.104694E-014  -0.641179E+001
   0.15625   5   0   0 -0.6331267556445880E+001 -0.6331267556445867E+001  0.4277384941881515E+002
#  0.427738E+002  -0.307321E-015  -0.307321E-015
# -0.307321E-015  -0.633127E+001  -0.111362E-015
# -0.307321E-015  -0.111362E-015  -0.633127E+001
   0.18750   6   0   0 -0.6239118986974894E+001 -0.6239118986974888E+001  0.4019610741161211E+002
#  0.401961E+002  -0.147383E-016  -0.147383E-016
# -0.147383E-016  -0.623912E+001  -0.104668E-014
# -0.147383E-016  -0.104668E-014  -0.623912E+001
   0.21875   7   0   0 -0.6138796282419577E+001 -0.6138796282419577E+001  0.3739842298283044E+002
#  0.373984E+002   0.325139E-015   0.325139E-015
#  0.325139E-015  -0.613880E+001   0.764526E-016
#  0.325139E-015   0.764526E-016  -0.613880E+001
   0.25000   8   0   0 -0.6034094318153482E+001 -0.6034094318153481E+001  0.3448818863630698E+002
#  0.344882E+002   0.456003E-015   0.456003E-015
#  0.456003E-015  -0.603409E+001  -0.156180E-015
#  0.456003E-015  -0.156180E-015  -0.603409E+001
   0.28125   9   0   0 -0.5929016081248499E+001 -0.5929016081248497E+001  0.3157720174450572E+002
#  0.315772E+002   0.621766E-015   0.621766E-015
#  0.621766E-015  -0.592902E+001  -0.142531E-015
#  0.621766E-015  -0.142531E-015  -0.592902E+001
