   0.00000   0   0   0 -0.1865478241737814E+002 -0.1865478241737813E+002 -0.1865478241737813E+002
# -0.186548E+002  -0.101644E-014  -0.101644E-014
# -0.101644E-014  -0.186548E+002  -0.169837E-014
# -0.101644E-014  -0.169837E-014  -0.186548E+002
   0.03125   1   0   0 -0.1868299338888815E+002 -0.1868299338888814E+002  0.3736598677777629E+002
#  0.373660E+002  -0.120770E-014  -0.120770E-014
# -0.120770E-014  -0.186830E+002  -0.376848E-015
# -0.120770E-014  -0.376848E-015  -0.186830E+002
   0.06250   2   0   0 -0.1876652052722998E+002 -0.1876652052722997E+002  0.3753304105445994E+002
#  0.375330E+002  -0.100152E-014  -0.100152E-014
# -0.100152E-014  -0.187665E+002  -0.640738E-015
# -0.100152E-014  -0.640738E-015  -0.187665E+002
   0.09375   3   0   0 -0.1890209233658254E+002 -0.1890209233658252E+002  0.3780418467316506E+002
#  0.378042E+002  -0.883485E-015  -0.883485E-015
# -0.883485E-015  -0.189021E+002  -0.102771E-014
# -0.883485E-015  -0.102771E-014  -0.189021E+002
   0.12500   4   0   0 -0.1908440681543713E+002 -0.1908440681543713E+002  0.3816881363087428E+002
#  0.381688E+002  -0.634799E-015  -0.634799E-015
# -0.634799E-015  -0.190844E+002  -0.104694E-014
# -0.634799E-015  -0.104694E-014  -0.190844E+002
   0.15625   5   0   0 -0.1930634937133875E+002 -0.1930634937133875E+002  0.3861269874267752E+002
#  0.386127E+002  -0.307321E-015  -0.307321E-015
# -0.307321E-015  -0.193063E+002  -0.111362E-015
# -0.307321E-015  -0.111362E-015  -0.193063E+002
   0.18750   6   0   0 -0.1955928285597418E+002 -0.1955928285597417E+002  0.3911856571194837E+002
#  0.391186E+002  -0.147383E-016  -0.147383E-016
# -0.147383E-016  -0.195593E+002  -0.104668E-014
# -0.147383E-016  -0.104668E-014  -0.195593E+002
   0.21875   7   0   0 -0.1983339599967539E+002 -0.1983339599967539E+002  0.3966679199935078E+002
#  0.396668E+002   0.325139E-015   0.325139E-015
#  0.325139E-015  -0.198334E+002   0.764526E-016
#  0.325139E-015   0.764526E-016  -0.198334E+002
   0.25000   8   0   0 -0.2011809431815348E+002 -0.2011809431815348E+002  0.4023618863630698E+002
#  0.402362E+002   0.456003E-015   0.456003E-015
#  0.456003E-015  -0.201181E+002  -0.156180E-015
#  0.456003E-015  -0.156180E-015  -0.201181E+002
   0.28125   9   0   0 -0.2040241636399269E+002 -0.2040241636399269E+002  0.4080483272798539E+002
#  0.408048E+002   0.621766E-015   0.621766E-015
#  0.621766E-015  -0.204024E+002  -0.142531E-015
#  0.621766E-015  -0.142531E-015  -0.204024E+002
   0.31250  10   0   0 -0.2067545797170343E+002 -0.2067545797170342E+002  0.4135091594340686E+002
#  0.413509E+002   0.649409E-015   0.649409E-015
#  0.649409E-015  -0.206755E+002  -0.173881E-015
#  0.649409E-015  -0.173881E-015  -0.206755E+002
   0.34375  11   0   0 -0.2092678778339372E+002 -0.2092678778339370E+002  0.4185357556678743E+002
#  0.418536E+002   0.660064E-015   0.660064E-015
#  0.660064E-015  -0.209268E+002  -0.411340E-015
#  0.660064E-015  -0.411340E-015  -0.209268E+002
   0.37500  12   0   0 -0.2114683866881994E+002 -0.2114683866881993E+002  0.4229367733763986E+002
#  0.422937E+002   0.638115E-015   0.638115E-015
#  0.638115E-015  -0.211468E+002  -0.416880E-015
#  0.638115E-015  -0.416880E-015  -0.211468E+002
   0.40625  13   0   0 -0.2132726146717842E+002 -0.2132726146717841E+002  0.4265452293435682E+002
#  0.426545E+002   0.535910E-015   0.535910E-015
#  0.535910E-015  -0.213273E+002  -0.457671E-015
#  0.535910E-015  -0.457671E-015  -0.213273E+002
   0.43750  14   0   0 -0.2146122957939371E+002 -0.2146122957939371E+002  0.4292245915878656E+002
#  0.429225E+002   0.367526E-015   0.367526E-015
#  0.367526E-015  -0.214612E+002  -0.493434E-015
#  0.367526E-015  -0.493434E-015  -0.214612E+002
   0.46875  15   0   0 -0.2154368515755295E+002 -0.2154368515755294E+002  0.4308737031507924E+002
#  0.430874E+002   0.255631E-015   0.255631E-015
#  0.255631E-015  -0.215437E+002   0.188150E-015
#  0.255631E-015   0.188150E-015  -0.215437E+002
   0.50000  16   0   0 -0.2157151984640338E+002 -0.2157151984640337E+002  0.4314303969212613E+002
#  0.431430E+002   0.964510E-016   0.964510E-016
#  0.964510E-016  -0.215715E+002  -0.110232E-014
#  0.964510E-016  -0.110232E-014  -0.215715E+002
   0.53125  16   1   0 -0.2159341065344467E+002 -0.2119504361170069E+002  0.4278845426452839E+002
#  0.427885E+002   0.384107E-010   0.936580E-016
#  0.384107E-010  -0.211950E+002  -0.101674E-014
#  0.936580E-016  -0.101674E-014  -0.215934E+002
   0.56250  16   2   0 -0.2165823315335381E+002 -0.2008742905153307E+002  0.4174566220442731E+002
#  0.417457E+002   0.565629E-010   0.851091E-016
#  0.565629E-010  -0.200874E+002  -0.818822E-015
#  0.851091E-016  -0.818822E-015  -0.216582E+002
   0.59375  16   3   0 -0.2176347157266862E+002 -0.1831179589702943E+002  0.4007526746941674E+002
#  0.400753E+002   0.509527E-010   0.717865E-016
#  0.509527E-010  -0.183118E+002  -0.517771E-015
#  0.717865E-016  -0.517771E-015  -0.217635E+002
   0.62500  16   4   0 -0.2190504474498910E+002 -0.1596607121028700E+002  0.3787111595513462E+002
#  0.378711E+002   0.332909E-010   0.577263E-016
#  0.332909E-010  -0.159661E+002  -0.302740E-015
#  0.577263E-016  -0.302740E-015  -0.219050E+002
   0.65625  16   5   0 -0.2207746859594737E+002 -0.1317357488957152E+002  0.3525104348546043E+002
#  0.352510E+002   0.166482E-010   0.483734E-016
#  0.166482E-010  -0.131736E+002   0.733564E-016
#  0.483734E-016   0.733564E-016  -0.220775E+002
   0.68750  16   6   0 -0.2227407354017439E+002 -0.1007235490456280E+002  0.3234642844471733E+002
#  0.323464E+002   0.652924E-011   0.460119E-016
#  0.652924E-011  -0.100724E+002   0.284734E-015
#  0.460119E-016   0.284734E-015  -0.222741E+002
   0.71875  16   7   0 -0.2248726741539817E+002 -0.6804892513071411E+001  0.2929215992846403E+002
#  0.292922E+002   0.203507E-011   0.471321E-016
#  0.203507E-011  -0.680489E+001   0.426226E-015
#  0.471321E-016   0.426226E-015  -0.224873E+002
   0.75000  16   8   0 -0.2270883283608896E+002 -0.3509397255247955E+001  0.2621823009133564E+002
#  0.262182E+002   0.508132E-012   0.446111E-016
#  0.508132E-012  -0.350940E+001   0.489314E-015
#  0.446111E-016   0.489314E-015  -0.227088E+002
   0.78125  16   9   0 -0.2293024668933757E+002 -0.3133471048286711E+000  0.2324359379416599E+002
#  0.232436E+002   0.102031E-012   0.323927E-016
#  0.102031E-012  -0.313347E+000   0.483959E-015
#  0.323927E-016   0.483959E-015  -0.229302E+002
   0.81250  16  10   0 -0.2314300893680382E+002  0.2670611195221947E+001  0.2047239774158184E+002
#  0.204724E+002   0.163668E-013   0.875424E-017
#  0.163668E-013   0.267061E+001   0.414333E-015
#  0.875424E-017   0.414333E-015  -0.231430E+002
   0.84375  16  11   0 -0.2333896790388845E+002  0.5346682561186033E+001  0.1799228534270240E+002
#  0.179923E+002   0.196022E-014  -0.231552E-016
#  0.196022E-014   0.534668E+001   0.340754E-015
# -0.231552E-016   0.340754E-015  -0.233390E+002
   0.87500  16  12   0 -0.2351062977200062E+002  0.7636359990693265E+001  0.1587426978130734E+002
#  0.158743E+002   0.103131E-015  -0.567802E-016
#  0.103131E-015   0.763636E+001   0.315557E-015
# -0.567802E-016   0.315557E-015  -0.235106E+002
   0.90625  16  13   0 -0.2365144096055218E+002  0.9477829138199573E+001  0.1417361182235259E+002
#  0.141736E+002   0.377628E-016  -0.850185E-016
#  0.377628E-016   0.947783E+001   0.147007E-015
# -0.850185E-016   0.147007E-015  -0.236514E+002
   0.93750  16  14   0 -0.2375603340049673E+002  0.1082484527431518E+002  0.1293118812618154E+002
#  0.129312E+002   0.181232E-015  -0.103587E-015
#  0.181232E-015   0.108248E+002   0.118108E-015
# -0.103587E-015   0.118108E-015  -0.237560E+002
   0.96875  16  15   0 -0.2382042427042050E+002  0.1164548730948817E+002  0.1217493696093233E+002
#  0.121749E+002   0.307777E-015  -0.112688E-015
#  0.307777E-015   0.116455E+002   0.102634E-015
# -0.112688E-015   0.102634E-015  -0.238204E+002
   1.00000  16  16   0 -0.2384216350909679E+002  0.1192108175454839E+002  0.1192108175454839E+002
#  0.119211E+002   0.356456E-015  -0.115179E-015
#  0.356456E-015   0.119211E+002   0.101353E-015
# -0.115179E-015   0.101353E-015  -0.238422E+002
   1.04419  15  15   0 -0.2379862745496911E+002  0.1157193285162513E+002  0.1222669460334397E+002
#  0.118993E+002   0.327381E+000  -0.379764E-015
#  0.327381E+000   0.118993E+002  -0.383875E-015
# -0.379764E-015  -0.383875E-015  -0.237986E+002
   1.08839  14  14   0 -0.2366899879807822E+002  0.1054533011818988E+002  0.1312366867988833E+002
#  0.118345E+002   0.128917E+001  -0.290676E-015
#  0.128917E+001   0.118345E+002  -0.773533E-016
# -0.290676E-015  -0.773533E-016  -0.236690E+002
   1.13258  13  13   0 -0.2345627774037374E+002  0.8901507618398014E+001  0.1455477012197572E+002
#  0.117281E+002   0.282663E+001  -0.847590E-016
#  0.282663E+001   0.117281E+002  -0.193540E-015
# -0.847590E-016  -0.193540E-015  -0.234563E+002
   1.17678  12  12   0 -0.2316565470140440E+002  0.6733666797230217E+001  0.1643198790417418E+002
#  0.115828E+002   0.484916E+001  -0.147951E-015
#  0.484916E+001   0.115828E+002   0.135024E-016
# -0.147951E-015   0.135024E-016  -0.231657E+002
   1.22097  11  11   0 -0.2280474309619132E+002  0.4158690963805775E+001  0.1864605213238553E+002
#  0.114024E+002   0.724368E+001   0.189931E-015
#  0.724368E+001   0.114024E+002   0.590491E-016
#  0.189931E-015   0.590491E-016  -0.228047E+002
   1.26517  10  10   0 -0.2238380767985203E+002  0.1306666297588018E+001  0.2107714138226401E+002
#  0.111919E+002   0.988524E+001   0.296189E-015
#  0.988524E+001   0.111919E+002   0.300275E-015
#  0.296189E-015   0.300275E-015  -0.223838E+002
